Percent Data,1,2,3,4,5,6,7,8,9,10
10,54.86,62.38,66.52,68.9,72.98,73.58,74.72,75.68,75.92,76.88
20,63.56,71.84,75.62,77.28,78.76,79,79.36,80.84,80,80.32
30,68.86,75.38,78.86,80.08,80.8,81.18,81.36,81.4,81.78,82.08
40,72.78,77.92,79.8,80.42,81.92,81.8,82.48,82.86,82.52,83.26
50,74.6,79.72,81.42,81.66,82.3,82.52,82.96,82.8,83.56,83.56
60,75.84,79.64,81.84,82.74,83.12,83.44,83.38,83.36,83.74,83.76
70,77.94,81.08,82.54,83.2,83.44,83.3,84.04,83.8,83.84,84.2
80,77.5,81.48,82.3,83.4,83.52,83.7,83.94,84.2,84.16,84.4
90,78.92,82.22,82.9,83.76,83.94,83.7,84.24,84.6,84.46,84.8
100,79.28,82.18,83.04,83.44,84.08,84.14,84.32,84.66,84.72,85.02
