Percent Data,1,2,3,4,5,6,7,8,9,10
10,0.004673305,0.008773845,0.013708087,0.018047475,0.024488902,0.026357892,0.030956167,0.034963564,0.044230149,0.043937504
20,0.009445652,0.030526303,0.030056819,0.035332117,0.050527503,0.054226562,0.061184777,0.078321645,0.092314533,0.088527413
30,0.013830673,0.02683331,0.046083622,0.05255525,0.075212207,0.080912701,0.094720379,0.126174892,0.119973018,0.132907936
40,0.01919892,0.035385481,0.05471366,0.072666178,0.105695105,0.115033041,0.123460792,0.14336364,0.165292688,0.182403275
50,0.021926307,0.052276629,0.072900997,0.110204032,0.127666312,0.137143377,0.154159684,0.177520304,0.247857036,0.228686482
60,0.026811933,0.056004475,0.101026413,0.105481108,0.154604179,0.165825313,0.187436881,0.223331208,0.284760194,0.313360293
70,0.030924456,0.065779153,0.101570008,0.130422641,0.18589983,0.208327315,0.255773778,0.269430223,0.328309372,0.332972434
80,0.035733852,0.075446938,0.170370725,0.148815575,0.218348876,0.230948468,0.302350667,0.297060588,0.548971927,0.392081657
90,0.0401517,0.084780417,0.14390687,0.179555905,0.285661543,0.31810045,0.296048254,0.33180251,0.429180639,0.419570787
100,0.0499719,0.095396819,0.141390934,0.179616137,0.267494797,0.2884293,0.330161845,0.364195532,0.453110723,0.460511604
